Ecosystem services,Ecosystem components,Rating,Ecosystem types,Link_assessment,Link assessment,Justification
Soil and sediment retention,Soils and sediments,A,Intensive Land Use Systems - Urban and Developed Area,1,Y,Soils and sediments are integral to the buffering and attenuation of mass flows service and changes in soil and sediment properties may  cause direct disruption of service and loss of other assets resulting in an indirect reduction or cessation of the service.
Soil and sediment retention,Soils and sediments,A,"Subterranean ecosystems (including Subterranean lithic systems, Subterranean freshwaters, Anthropogenic subterranean freshwaters and Subterranean tidal systems) ",1,Y,Soils and sediments are integral to the buffering and attenuation of mass flows service and changes in soil and sediment properties may  cause direct disruption of service and loss of other assets resulting in an indirect reduction or cessation of the service.
Soil and sediment retention,Soils and sediments,A,Palustrine Wetlands ,1,Y,Soils and sediments are integral to the buffering and attenuation of mass flows service and changes in soil and sediment properties may  cause direct disruption of service and loss of other assets resulting in an indirect reduction or cessation of the service.
Soil and sediment retention,Soils and sediments,A,"Artificial Freshwaters, Lakes, Rivers and streams ",1,Y,Soils and sediments are integral to the buffering and attenuation of mass flows service and changes in soil and sediment properties may  cause direct disruption of service and loss of other assets resulting in an indirect reduction or cessation of the service.
Soil and sediment retention,Soils and sediments,A,Semi-confined transitional waters,1,Y,Soils and sediments are integral to the buffering and attenuation of mass flows service and changes in soil and sediment properties may  cause direct disruption of service and loss of other assets resulting in an indirect reduction or cessation of the service.
Soil and sediment retention,Soils and sediments,A,Pelagic ocean waters and Deep Sea floors,1,Y,Soils and sediments are integral to the buffering and attenuation of mass flows service and changes in soil and sediment properties may  cause direct disruption of service and loss of other assets resulting in an indirect reduction or cessation of the service.
Soil and sediment retention,Soils and sediments,A,Anthropogenic marine systems,1,Y,Soils and sediments are integral to the buffering and attenuation of mass flows service and changes in soil and sediment properties may  cause direct disruption of service and loss of other assets resulting in an indirect reduction or cessation of the service.
Soil and sediment retention,Soils and sediments,A,Marine shelfs,1,Y,Soils and sediments are integral to the buffering and attenuation of mass flows service and changes in soil and sediment properties may  cause direct disruption of service and loss of other assets resulting in an indirect reduction or cessation of the service.
Soil and sediment retention,Soils and sediments,A,Shoreline systems (including Anthropogenic shorelines) and supralittoral coastal systems,1,Y,Soils and sediments are integral to the buffering and attenuation of mass flows service and changes in soil and sediment properties may  cause direct disruption of service and loss of other assets resulting in an indirect reduction or cessation of the service.
Soil and sediment retention,Soils and sediments,A,Brackish tidal systems ,1,Y,Soils and sediments are integral to the buffering and attenuation of mass flows service and changes in soil and sediment properties may  cause direct disruption of service and loss of other assets resulting in an indirect reduction or cessation of the service.
Water purification,Structural and Biotic Integrity,A,Tropical-subtropical and Temperate-boreal forests and woodlands ,1,Y,Structural and biotic integrity of the ecosystem is essential to the provision of filtration/sequestration/storage/accumulation services. The impact of changes in integrity on the service is however highly variable as the relationship between the two is non-linear.
Water purification,Structural and Biotic Integrity,A,"Shrublands & shrubby woodlands, Savannas and grasslands ",1,Y,Structural and biotic integrity of the ecosystem is essential to the provision of filtration/sequestration/storage/accumulation services. The impact of changes in integrity on the service is however highly variable as the relationship between the two is non-linear.
Water purification,Structural and Biotic Integrity,A,Desert and Semi-deserts ,1,Y,Structural and biotic integrity of the ecosystem is essential to the provision of filtration/sequestration/storage/accumulation services. The impact of changes in integrity on the service is however highly variable as the relationship between the two is non-linear.
Water purification,Structural and Biotic Integrity,A,Polar-Alpine ,1,Y,Structural and biotic integrity of the ecosystem is essential to the provision of filtration/sequestration/storage/accumulation services. The impact of changes in integrity on the service is however highly variable as the relationship between the two is non-linear.
Water purification,Structural and Biotic Integrity,A,Intensive Land Use Systems - Agriculture and Croplands ,1,Y,Structural and biotic integrity of the ecosystem is essential to the provision of filtration/sequestration/storage/accumulation services. The impact of changes in integrity on the service is however highly variable as the relationship between the two is non-linear.
